sys_sch,SystemId,SystemName,SchoolName,SchoolId,Cluster,Phone_Number,Street,City,State,Zip_Code,total_enroll,Grades,SSAS,Grade,SingleScore,pct_asian,pct_native,pct_black,pct_hispanic,pct_multi,pct_white,pct_ed,pct_swd,pct_lep,Content_MasteryE,ProgressE,Closing_GapE,ReadinessE,CCRPIScoreE,Third_Grade_Reading,Fifth_Grade_Reading,Content_MasteryM,ProgressM,Closing_GapM,ReadinessM,CCRPIScoreM,Eighth_Grade_Reading,Content_MasteryH,ProgressH,Closing_GapH,ReadinessH,Graduation_RateH,CCRPIScoreH,English_BegH,English_DevH,English_ProfH,English_DistH,Math_BegH,Math_DevH,Math_ProfH,Math_DistH,Science_BegH,Science_DevH,Science_ProfH,Science_DistH,Soc_BegH,Soc_DevH,Soc_ProfH,Soc_DistH,College_Readiness,Accelerated_Course_Taking,Four_Year_Graduation_Rate,English_BegE,English_DevE,English_ProfE,English_DistE,Math_BegE,Math_DevE,Math_ProfE,Math_DistE,Science_BegE,Science_DevE,Science_ProfE,Science_DistE,Soc_BegE,Soc_DevE,Soc_ProfE,Soc_DistE,English_BegM,English_DevM,English_ProfM,English_DistM,Math_BegM,Math_DevM,Math_ProfM,Math_DistM,Science_BegM,Science_DevM,Science_ProfM,Science_DistM,Soc_BegM,Soc_DevM,Soc_ProfM,Soc_DistM,CollegeEnrollment,FinancialEfficiency,SchoolClimate,Mobility,PPE
628198,628,Cherokee County,R.M. Moore Elementary School STEM Academy,198,E,(770)479-3978,1375 Puckett Road,Waleska,GA,30183,362,K-5,Greatest Gains (Gold),B,89.2,1,0,1,6,0,92,18.5,13,4,79.90000000000000,96.3,100,82.60000000000000,89.2,57.1,74.60000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,37.1,30.9,11.4,8.6,27.4,40,24,10.7,23.2,42.90000000000000,23.2,10.7,30.4,44.6,14.3,,,,,,,,,,,,,,,,,,,4,18.5,
633117,633,Cobb County,Clarkdale Elementary School,117,E,(770)819-2422,4725 Ewing Road,Austell,GA,30106,775,K-5,Greatest Gains (Bronze),C,76.40000000000000,1,0,57,30,3,10,37.700001,11,28,57.9,94.3,69.2,78.2,76.40000000000000,36.6,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,38.7,26.7,7.100000000000000,18.4,43.2,30.7,7.800000000000000,34.7,27.9,32,5.4,28.6,51.7,15.6,4.100000000000000,,,,,,,,,,,,,,,,,,,4,24,
633175,633,Cobb County,Walton High School,175,H,(770)578-3225,1590 Bill Murdock Road,Marietta,GA,30062,2691,9-12,Greatest Gains (Gold)/Highest Performing (Platinum),A,96.30000000000000,19,0,6,5,2,67,1.6,9,3,,,,,,,,,,,,,,100,95.5,97.2,90.90000000000000,95.60000000000000,96.3,2.2,8,43,46.8,1.7,10.6,31.5,56.2,3,8.300000000000000,44,44.7,1.9,10.7,41.8,45.7,87,67.2,95.10000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4.800000000000000,
633185,633,Cobb County,Garrison Mill Elementary School,185,E,(770)642-5600,4111 Wesley Chapel Road,Marietta,GA,30062,679,K-5,Greatest Gains (Gold),A,91.90000000000000,5,1,8,8,4,74,1.5,11,5,95.90000000000000,94,77.5,93.10000000000000,91.90000000000000,79.30000000000000,89.30000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.600000000000000,19.9,50.1,25.4,4.3,25.4,54.1,16.2,8.200000000000000,12.7,50.90000000000000,28.2,4.5,18.2,40,37.3,,,,,,,,,,,,,,,,,,,4,6.600000000000000,
633192,633,Cobb County,Harrison High School,192,H,(678)594-8104,4500 Due West Road,Kennesaw,GA,30152,2206,9-12,Greatest Gains (Platinum),A,94,3,0,12,6,3,76,2.8,11,1,,,,,,,,,,,,,,100,98.10000000000000,68.8,88.7,96,94,3,18.9,52.3,25.8,5,19.8,47.3,27.9,6.600000000000000,16.5,46.7,30.3,3.9,18.3,53.3,24.6,80.10000000000000,67.60000000000000,95.60000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.8,
633203,633,Cobb County,Kemp Elementary School,203,E,(678)594-8158,865 Corner Road,Powder Springs,GA,30127,949,K-5,Greatest Gains (Bronze)/Highest Performing (Silver),A,93.5,3,0,27,9,6,55,5.9000001,10,5,97.90000000000000,91.8,91.10000000000000,91.60000000000000,93.5,71.2,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,23,47.3,25.9,2.9,21.7,47.40000000000000,28,8.1,20.3,41.3,30.2,4.100000000000000,32.6,34.9,28.5,,,,,,,,,,,,,,,,,,,5,6.800000000000000,
633275,633,Cobb County,Dodgen Middle School,275,M,(770)578-2726,1725 Bill Murdock Road,Marietta,GA,30062,1244,6-8,Greatest Gains (Gold),A,91.80000000000000,20,0,6,5,3,66,1.4,12,2,,,,,,,,99.3,91.40000000000000,73.40000000000000,95.2,91.8,94.60000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,16.7,53,27.8,1.2,12.6,41.2,44.90000000000000,8.5,21.9,35.3,34.4,5.4,24.8,41.5,28.3,,,5,3.6,
633278,633,Cobb County,Mount Bethel Elementary School,278,E,(770)578-7248,1210 Johnson Ferry Road,Marietta,GA,30068,1116,K-5,Highest Performing (Gold),A,95.60000000000000,14,0,3,5,3,75,0.69999999,10,6,99.5,90.10000000000000,100,95.90000000000000,95.60000000000000,89,89.30000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,14.4,46.6,37,1.5,16.8,48.6,33,4.2,20.5,54.7,20.5,1.1,25.3,42.6,31.1,,,,,,,,,,,,,,,,,,,4,3.7,
633281,633,Cobb County,Dickerson Middle School,281,M,(770)578-2710,855 Woodlawn Drive,Marietta,GA,30068,1294,6-8,Greatest Gains (Bronze),A,90.90000000000000,18,0,5,5,3,68,1.4,12,4,,,,,,,,100,91.60000000000000,65.60000000000000,95.2,90.90000000000000,94.40000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,16.7,47.1,33,1.3,10.8,36.9,51,4.3,15.8,42.1,37.8,1.6,17.4,41.40000000000000,39.6,,,5,5,
633289,633,Cobb County,Addison Elementary School,289,E,(770)578-2700,3055 Ebenezer Road,Marietta,GA,30066,616,K-5,Greatest Gains (Silver),B,83.2,7,1,16,18,4,54,11.5,14,12,84.60000000000000,93.5,50,88.10000000000000,83.2,63.2,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,24.8,40.40000000000000,25.4,9.200000000000000,23.5,48.40000000000000,19,16,36.8,39.6,7.5,16,39.6,34.9,9.4,,,,,,,,,,,,,,,,,,,3,12.3,
633373,633,Cobb County,Sprayberry High School,373,H,(770)578-3200,2525 Sandy Plains Road,Marietta,GA,30066,1705,9-12,Greatest Gains (Silver),B,83.90000000000000,7,0,29,19,6,39,10.6,15,8,,,,,,,,,,,,,,80.10000000000000,95.5,67.10000000000000,76.2,87.5,83.90000000000000,11,33.3,46.1,9.600000000000000,17.9,33.9,33,11.4,13.5,22.7,45.1,18.7,13.3,18.8,48.8,19.1,51.6,50.5,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14.4,
633375,633,Cobb County,Murdock Elementary School,375,E,(770)509-5071,2320 Murdock Road,Marietta,GA,30062,1011,K-5,Greatest Gains (Bronze),A,92,15,0,8,9,3,65,4.0999999,10,9,100,92.8,73.10000000000000,92.90000000000000,92,80.90000000000000,87.40000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,18,44.40000000000000,34.5,3.7,15.9,44.3,36.1,5,21.1,42.2,31.7,1.7,28.9,33.3,36.1,,,,,,,,,,,,,,,,,,,3,5.300000000000000,
633381,633,Cobb County,Lassiter High School,381,H,(678)494-7863,2601 Shallowford Road,Marietta,GA,30066,2192,9-12,Greatest Gains (Platinum)/Highest Performing (Platinum),A,95.80000000000000,7,0,8,9,4,72,2.5999999,11,1,,,,,,,,,,,,,,100,97.8,84.40000000000000,90.7,96,95.8,1.9,12.7,51.2,34.3,2.8,15.2,54.3,27.5,4.800000000000000,9,47.8,38.5,2.5,8.5,43.40000000000000,45.7,82.90000000000000,71.10000000000000,95.60000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3.8,
633389,633,Cobb County,Simpson Middle School,389,M,(770)971-4711,3340 Trickum Road,Marietta,GA,30066,936,6-8,Highest Performing (Bronze),A,94.7,10,0,11,10,5,64,3.8,14,4,,,,,,,,96.7,94.60000000000000,95.60000000000000,91.10000000000000,94.7,89.90000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.300000000000000,21.4,48.8,22.5,5.300000000000000,20.8,41.8,32.2,6.7,14.9,50,28.4,7,24.5,41.90000000000000,26.6,,,4,5.7,
633394,633,Cobb County,Hightower Trail Middle School,394,M,(770)578-7225,3905 Post Oak Tritt Road,Marietta,GA,30062,1077,6-8,Greatest Gains (Bronze),A,91.80000000000000,10,0,7,6,4,73,3,14,2,,,,,,,,99.90000000000000,87.10000000000000,81.7,95.40000000000000,91.8,94.60000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,17.6,56,23.5,1.6,12.2,42.5,43.7,6.4,16.4,48.90000000000000,28.3,4.2,18.7,38.5,38.5,,,5,3.5,
633602,633,Cobb County,Palmer Middle School,602,M,(770)591-5020,690 North Booth Road,Kennesaw,GA,30144,923,6-8,Greatest Gains (Bronze),B,83.60000000000000,4,0,27,19,4,45,12.6,17,6,,,,,,,,81.60000000000000,90.5,65,88.40000000000000,83.60000000000000,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,31.6,44.8,10.5,8.9,33.1,41.6,16.4,14,25.4,34.4,26.1,7.7,29.1,39.8,23.4,,,5,13.7,
633707,633,Cobb County,Hillgrove High School,707,H,(678)331-3961,4165 Luther Ward Road,Powder Springs,GA,30127,2465,9-12,Greatest Gains (Gold),A,91.80000000000000,3,0,35,9,4,49,5.6999998,9,2,,,,,,,,,,,,,,95.60000000000000,95.60000000000000,78.60000000000000,83.8,93.40000000000000,91.8,3.5,27.5,50.7,18.3,5.2,22.1,45.3,27.3,7.2,20.9,50.2,21.7,5.9,18.8,56.8,18.5,66,61.6,93.90000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.300000000000000,
636101,636,Columbia County,Greenbrier Middle School,101,M,(706)650-6080,5120 Riverwood Parkway,Evans,GA,30809,657,6-8,Greatest Gains (Bronze)/Highest Performing (Bronze),A,91.7,3,0,14,8,5,69,3.5,7,1,,,,,,,,93.2,93.2,83.3,93.3,91.7,89.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.300000000000000,21.4,50.40000000000000,21.9,6.300000000000000,23.4,41.1,29.2,11.4,32.2,42.6,13.9,6.5,27.4,36.3,29.9,,,5,9.1,
636106,636,Columbia County,River Ridge Elementary School,106,E,(706)447-1016,4109 Mullikin Road,Evans,GA,30809,705,K-5,Greatest Gains (Silver)/Highest Performing (Gold),A,98.5,7,0,10,8,6,69,5.5,6,4,100,100,100,92.5,98.5,74.8,82.10000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,15.9,45.1,35.7,2.2,17.6,44.1,36,2.7,10.8,45,41.40000000000000,0.9,21.6,33.3,44.1,,,,,,,,,,,,,,,,,,,5,7.9,
636192,636,Columbia County,Stevens Creek Elementary School,192,E,(706)868-3705,3780 Evans-to-Locks Road,Martinez,GA,30907,836,K-5,Highest Performing (Silver),A,93.5,16,0,9,6,6,63,9.8000002,6,6,94,95.10000000000000,90.90000000000000,91.90000000000000,93.5,72,78.10000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,23.9,45.6,23.6,3.5,15.6,41.8,39,8.9,24,45.90000000000000,21.2,6.800000000000000,40.40000000000000,32.9,19.9,,,,,,,,,,,,,,,,,,,5,9.800000000000000,
636197,636,Columbia County,Greenbrier High School,197,H,(706)650-6040,5114 Riverwood Parkway,Evans,GA,30809,1696,9-12,Greatest Gains (Bronze),A,91.10000000000000,3,0,15,7,4,72,4.0999999,6,0,,,,,,,,,,,,,,90.7,92.40000000000000,81.3,87.90000000000000,99.3,91.10000000000000,4.9,21,50.40000000000000,23.7,6.2,32.3,47.3,14.2,8.300000000000000,24.8,40.8,26.1,4.5,25.9,46.40000000000000,23.2,74.90000000000000,71.40000000000000,99.30000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.7,
638299,638,Coweta County,Madras Middle School,299,M,(770)254-2744,240 Edgeworth Road,Newnan,GA,30263,1136,6-8,Greatest Gains (Bronze),B,87.2,3,0,14,9,4,69,10.4,8,3,,,,,,,,88,93.90000000000000,66.7,89.40000000000000,87.2,83.60000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.300000000000000,26.4,47.7,17.6,6.2,32.6,40.1,21.1,14.5,27.6,36.6,21.3,6.300000000000000,23.4,42.8,27.5,,,5,9.4,
644173,644,DeKalb County,Vanderlyn Elementary School,173,E,(678)874-9002,1877 Vanderlyn Drive,Dunwoody,GA,30338,683,K-5,Highest Performing (Gold),A,95,39,0,4,6,2,48,1.2,6,16,98.5,92,97.2,93.40000000000000,95,78.40000000000000,92.40000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,19.1,48.5,31.1,0.3,20.5,41.6,37.5,4.800000000000000,31.4,44.8,19,2.9,26.7,41,29.5,,,,,,,,,,,,,,,,,,,4,18.7,
644175,644,DeKalb County,Austin Elementary School,175,E,(678)874-8102,5435 Roberts Drive,Dunwoody,GA,30338,620,K-5,Highest Performing (Platinum),A,92.7,25,0,3,6,4,63,1,5,11,100,87.90000000000000,87.5,94.10000000000000,92.7,76.40000000000000,94.80000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,17.5,49.8,28.9,1.9,19.4,51.3,27.4,1.3,17.1,51.3,30.3,0,15.8,38.2,46.1,,,,,,,,,,,,,,,,,,,4,11.6,
644214,644,DeKalb County,Dunwoody Elementary School,214,E,(678)875-4002,1923 Womack Road Drive,Dunwoody,GA,30338,1035,K-5,Highest Performing (Silver),A,92.2,31,0,16,8,4,40,4.5,8,16,99.3,84.7,98.2,90.3,92.2,64.90000000000000,83.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.100000000000000,17.7,40.8,35.4,4.600000000000000,24.8,38.8,31.8,6.300000000000000,19,47.6,27,4.800000000000000,23.8,36.5,34.9,,,,,,,,,,,,,,,,,,,4,24.2,
644288,644,DeKalb County,Kittredge Magnet School,288,EM,(678)874-6602,1663 East Nancy Creek Drive,Atlanta,GA,30319,479,4-6,Greatest Gains (Gold)/Highest Performing (Platinum),A,98.10000000000000,16,0,11,6,6,61,2.5,2,1,100,92.7,100,99.10000000000000,97.3,,100,100,100,100,99.60000000000000,99.90000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,31.6,67.40000000000000,0,1.6,38.3,60.1,0,0.6000000000000000,29.7,69.60000000000000,0,0.6000000000000000,19.6,79.7,0,1.3,35.2,63.5,0,1.9,29.6,68.60000000000000,,,,,,,,,,,4,0.8,
644407,644,DeKalb County,Dekalb Early College Academy,407,H,(678)875-2402,1701 Mountain Industrial Boulevard,Clarkston,GA,30083,333,9-12,Greatest Gains (Gold)/Highest Performing (Gold),A,96.60000000000000,3,0,89,4,2,2,19.799999,1,2,,,,,,,,,,,,,,99.60000000000000,92.90000000000000,100,92.40000000000000,100,96.60000000000000,0,18.8,58.8,22.4,0,18.6,57,24.4,2.3,7,53.5,37.2,1.7,12.5,67.5,18.3,79.30000000000000,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.2,
644410,644,DeKalb County,DeKalb School of the Arts,410,MH,(678)676-2502,1192 Clarendon Avenue,Avondale Estates,GA,30002,421,8-12,Highest Performing (Silver),A,90.5,3,0,62,2,3,30,6.6999998,4,1,,,,,,,,92.2,60.1,53.1,97.2,76.10000000000000,95,97.7,87.2,100,94.40000000000000,96.90000000000000,94.2,0,11,64.60000000000000,24.4,0,28.7,58.6,12.6,1.1,12,42.40000000000000,44.6,1.2,25.6,43.90000000000000,29.3,81.30000000000000,100,96,,,,,,,,,,,,,,,,,0,9.9,66.7,23.5,1.2,37,48.1,13.6,7.5,37.5,40,15,1.3,26.6,51.90000000000000,20.3,,,5,3.3,
648200,648,Douglas County,Holly Springs Elementary School,200,E,(770)651-4000,4909 West Chapel Hill Road,Douglasville,GA,30135,550,K-5,Greatest Gains (Gold),A,94.60000000000000,2,0,59,13,5,21,18.5,12,12,90.8,98.3,100,90,94.60000000000000,71.3,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,26.7,45.5,22.9,3.1,32.3,48.6,16,6.9,41.6,34.7,16.8,1,32.7,31.7,34.7,,,,,,,,,,,,,,,,,,,4,14.2,
656182,656,Fayette County,McIntosh High School,182,H,(770)631-3232,201 Walt Banks Road,Peachtree City,GA,30269,1726,9-12,Greatest Gains (Platinum)/Highest Performing (Gold),A,97,11,0,11,11,6,61,3.2,6,4,,,,,,,,,,,,,,100,100,94.3,91,92.7,97,2.6,9.1,50.6,37.6,2.7,19.2,39.6,38.40000000000000,6.7,12.4,40.2,40.7,3.7,12.8,52.5,31,80.7,63.40000000000000,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.100000000000000,
656186,656,Fayette County,Oak Grove Elementary School,186,E,(770)631-3260,101 Crosstown Drive,Peachtree City,GA,30269,485,K-5,Greatest Gains (Gold),B,83.40000000000000,13,0,14,15,6,51,9.5,9,15,87,94.60000000000000,43.2,88.3,83.40000000000000,62.90000000000000,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,24.3,46.1,18.7,4.800000000000000,26.1,44.8,24.3,16.7,28.6,41.7,13.1,10.7,40.5,31,17.9,,,,,,,,,,,,,,,,,,,5,15.7,
656191,656,Fayette County,Braelinn Elementary School,191,E,(770)631-5410,975 Robinson Road,Peachtree City,GA,30269,520,K-5,Highest Performing (Silver),A,93.7,7,0,3,5,5,80,1.2,7,5,98.10000000000000,90.2,92.90000000000000,93.90000000000000,93.7,86.60000000000000,84.80000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,14.6,46.40000000000000,33.2,3.9,15.4,47.1,33.6,6.7,20.2,52.90000000000000,20.2,1.9,34.6,41.3,22.1,,,,,,,,,,,,,,,,,,,4,3.8,
656192,656,Fayette County,Sandy Creek High School,192,H,(770)969-2840,360 Jenkins Road,Tyrone ,GA,30290,1112,9-12,Greatest Gains (Bronze),B,83.60000000000000,3,1,57,16,5,18,13.8,11,4,,,,,,,,,,,,,,78.7,93.40000000000000,81.3,74.2,84.7,83.60000000000000,10.3,29.7,45.7,14.3,17.4,42.6,30,10,24.4,27.8,33,14.8,10.5,26.9,44.40000000000000,18.2,58.7,41.7,83.60000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8.700000000000000,
656196,656,Fayette County,Kedron Elementary School,196,E,(770)486-2700,200 Kedron Drive,Peachtree City,GA,30269,597,K-5,Highest Performing (Platinum),A,95.5,21,1,15,11,6,47,6.1999998,8,16,100,91.40000000000000,100,92.40000000000000,95.5,76,85.30000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,17.9,40.5,36.8,4.100000000000000,14.6,42.7,38.6,6.7,14.4,36.5,42.3,3.8,17.3,26.9,51.90000000000000,,,,,,,,,,,,,,,,,,,4,9.300000000000000,
656198,656,Fayette County,Starr's Mill High School,198,H,(770)486-2710,193 Panther Path,Fayetteville ,GA,30215,1413,9-12,Greatest Gains (Silver)/Highest Performing (Silver),A,92.2,5,0,8,7,4,76,2.9000001,8,2,,,,,,,,,,,,,,98,89.90000000000000,85.5,88.90000000000000,93.10000000000000,92.2,3.6,15.7,51.3,29.4,1.5,22,46.6,29.9,9.700000000000000,18.3,48.1,23.8,7.4,22.3,37.1,33.2,79.30000000000000,62.6,92.10000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.7,
656296,656,Fayette County,Spring Hill Elementary School,296,E,(770)460-3432,100 Bradford Square,Fayetteville ,GA,30215,694,K-5,Greatest Gains (Silver),B,81.7,7,0,50,12,10,21,27.5,9,9,75.2,91.10000000000000,69.60000000000000,84.2,81.7,57.7,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,34.4,38.90000000000000,11.9,6.2,40.7,40.90000000000000,12.2,18.3,26.1,48.7,7,12.2,47.8,29.6,10.4,,,,,,,,,,,,,,,,,,,5,13.7,
